,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
36,Big Hole National Battlefield,biho,MT,45.64647324,-113.6458443,National Battlefield,"['Arts and Culture', 'Cultural Demonstrations', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Cultural Demonstrations,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Big South Fork National River & Recreation Area,biso,"KY,TN",36.5348388,-84.66506688,National River & Recreation Area,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Horse Camping (see also Horse/Stock Use)', 'RV Camping', 'Climbing', 'Rock Climbing', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'Tubing', 'Swimming', 'Pool Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Astronomy,Stargazing,Biking,Mountain Biking,Boating,Camping,Backcountry Camping,Horse Camping (see also Horse/Stock Use),RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Food,Picnicking,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Junior Ranger Program,Tubing,Swimming,Pool Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,
38,Big Thicket National Preserve,bith,TX,30.4579834310497,-94.3867421150208,National Preserve,"['Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Hands-On', 'Citizen Science', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bighorn Canyon National Recreation Area,bica,"MT,WY",45.13154227,-108.1443943,National Recreation Area,"['Arts and Culture', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Jet Skiing', 'Boat Tour', 'Camping', 'Compass and GPS', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Theater,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Motorized Boating,Sailing,Jet Skiing,Boat Tour,Camping,Compass and GPS,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,
40,Birmingham Civil Rights National Monument,bicr,AL,33.5154266357422,-86.8146667480469,National Monument,"['Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Biscayne National Park,bisc,FL,25.490587,-80.21023851,National Park,"['Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Fishing', 'Guided Tours', 'Boat Tour', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Boating,Motorized Boating,Sailing,Boat Tour,Camping,Fishing,Guided Tours,Boat Tour,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Black Canyon Of The Gunnison National Park,blca,CO,38.57779869,-107.7242756,National Park,"['Camping', 'Climbing', 'Fishing', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Kayaking', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching']",Camping,Climbing,Fishing,Hiking,Backcountry Hiking,Horse Trekking,Horseback Riding,Paddling,Kayaking,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Blackstone River Valley National Historical Park,blrv,"RI,MA",41.8775792791768,-71.3824339450125,National Historical Park,"['Biking', 'Camping', 'Canoe or Kayak Camping', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",Biking,Camping,Canoe or Kayak Camping,Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Blue Ridge Parkway,blri,"NC,VA",35.5657195273801,-82.4864845870113,Parkway,"['Arts and Culture', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Car or Front Country Camping,Fishing,Freshwater Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bluestone National Scenic River,blue,WV,37.56577087,-80.98366657,National Scenic River,"['Biking', 'Mountain Biking', 'Boating', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",Biking,Mountain Biking,Boating,Fishing,Freshwater Fishing,Guided Tours,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Booker T Washington National Monument,bowa,VA,37.11520539,-79.73185833,National Monument,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Reenactments,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Boston African American National Historic Site,boaf,MA,42.35908295,-71.06764181,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Boston Harbor Islands National Recreation Area,boha,MA,42.30905526,-70.93941138,National Recreation Area,"['Arts and Culture', 'Live Music', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Living History', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",Arts and Culture,Live Music,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Living History,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Boston National Historical Park,bost,MA,42.36957407,-71.05536763,National Historical Park,"['Fishing', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']",Fishing,Guided Tours,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Brices Cross Roads National Battlefield Site,brcr,MS,34.50611958,-88.72889343,National Battlefield Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto']",Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Brown v. Board of Education National Historic Site,brvb,KS,39.03787665,-95.67614437,National Historic Site,"['Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bryce Canyon National Park,brca,UT,37.58399144,-112.1826689,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Horse Trekking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Buck Island Reef National Monument,buis,VI,17.81026717,-64.6222179,National Monument,"['Boating', 'Sailing', 'Hiking', 'Paddling', 'Kayaking', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",Boating,Sailing,Hiking,Paddling,Kayaking,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Buffalo National River,buff,AR,36.04116481,-92.90761584,National River,"['Camping', 'Backcountry Camping', 'Caving', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Paddling', 'Canoeing', 'Junior Ranger Program', 'Wildlife Watching']",Camping,Backcountry Camping,Caving,Fishing,Food,Guided Tours,Hiking,Backcountry Hiking,Off-Trail Permitted Hiking,Horse Trekking,Hunting and Gathering,Paddling,Canoeing,Junior Ranger Program,Wildlife Watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cabrillo National Monument,cabr,CA,32.6722503,-117.2415985,National Monument,"['Biking', 'Road Biking', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Biking,Road Biking,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,California National Historic Trail,cali,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",42.3999643979285,-108.702415369046,National Historic Trail,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Museum Exhibits']",Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horseback Riding,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Camp Nelson National Monument,cane,KY,37.7970179912726,-84.5981683059999,National Monument,"['Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Museum Exhibits']",Hiking,Front-Country Hiking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Canaveral National Seashore,cana,FL,28.78637529,-80.75419576,National Seashore,"['Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Junior Ranger Program', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Gift Shop and Souvenirs']",Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Fishing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Paddling,Junior Ranger Program,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Cane River Creole National Historical Park,cari,LA,31.65408447,-93.00131977,National Historical Park,"['Arts and Culture', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Canyon de Chelly National Monument,cach,AZ,36.14319567,-109.3388303,National Monument,"['Auto and ATV', 'Scenic Driving', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Camping,Guided Tours,Hiking,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Canyonlands National Park,cany,UT,38.24555783,-109.8801624,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Whitewater Rafting', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Rock Climbing,Guided Tours,Boat Tour,Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Whitewater Rafting,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Cape Cod National Seashore,caco,MA,41.92381465,-70.04319832,National Seashore,"['Auto and ATV', 'Auto Off-Roading', 'Biking', 'Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Golfing', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Auto Off-Roading,Biking,Camping,RV Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Golfing,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,
63,Cape Hatteras National Seashore,caha,NC,35.41370839,-75.65061112,National Seashore,"['Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Saltwater Fishing,Food,Picnicking,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cape Henry Memorial Part of Colonial National Historical Park,came,VA,36.9278094,-76.0088219,Part of Colonial National Historical Park,"['Guided Tours', 'Self-Guided Tours - Walking']",Guided Tours,Self-Guided Tours - Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Cape Krusenstern National Monument,cakr,AK,67.41499986,-163.5037786,National Monument,"['Camping', 'Backcountry Camping', 'Flying', 'Fixed Wing Flying', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Camping,Backcountry Camping,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Cape Lookout National Seashore,calo,NC,34.8267961,-76.34319082,National Seashore,"['Auto and ATV', 'ATV Off-Roading', 'Auto Off-Roading', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Fishing', 'Saltwater Fishing', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,ATV Off-Roading,Auto Off-Roading,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Saltwater Fishing,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Swimming,Saltwater Swimming,Wildlife Watching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Capitol Hill Parks,cahi,DC,38.889993,-76.990332,,"['Arts and Culture', 'Biking', 'Food', 'Picnicking', 'Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Bus/Shuttle Guided Tour', 'Junior Ranger Program', 'Playground']",Arts and Culture,Biking,Food,Picnicking,Flying,Guided Tours,Self-Guided Tours - Walking,Bus/Shuttle Guided Tour,Junior Ranger Program,Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
